"device_twin_variable_history_id","device_twin_id","customer_id","device_twin_variable_id","name","category","type","kind","value","unit","meta","created_at","alias"
"00000000-6440-9ace-9df1-58001f42b23b","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279325","Battery","hardware","battery","any","2.96","V",NULL,"2023-04-20 01:52:14.749","auxiliary"
"00000000-6440-9ace-9df1-58001f42b23c","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279327","Firmware Version","hardware","info","any","101","unknown",NULL,"2023-04-20 01:52:14.754","info"
"00000000-6440-9ad9-9df1-58001f42b23e","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279321","Status","captured","water","cold","1","unknown",NULL,"2023-04-20 01:52:25.741","auxiliary"
"00000000-6440-9ad9-9df1-58001f42b23f","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279322","Low Bat","hardware","battery","unknown","0","unknown",NULL,"2023-04-20 01:52:25.752","info"
"00000000-6440-9ad9-9df1-58001f42b240","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279323","Keep Alive","unknown","unknown","unknown","240","min",NULL,"2023-04-20 01:52:25.759","auxiliary"
"00000000-6440-9ad9-9df1-58001f42b241","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279325","Battery","hardware","battery","any","2.96","V",NULL,"2023-04-20 01:52:25.768","auxiliary"
"00000000-6440-9ad9-9df1-58001f42b242","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279327","Firmware Version","hardware","info","any","101","unknown",NULL,"2023-04-20 01:52:25.776","info"
"00000000-6440-9ae4-7ce4-be001f279356","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279321","Status","captured","water","cold","1","unknown",NULL,"2023-04-20 01:52:36.758","auxiliary"
"00000000-6440-9ae4-7ce4-be001f279357","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279322","Low Bat","hardware","battery","unknown","0","unknown",NULL,"2023-04-20 01:52:36.773","info"
"00000000-6440-9ae4-7ce4-be001f279358","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279323","Keep Alive","unknown","unknown","unknown","240","min",NULL,"2023-04-20 01:52:36.779","auxiliary"
"00000000-6440-9ae4-7ce4-be001f279359","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279325","Battery","hardware","battery","any","2.96","V",NULL,"2023-04-20 01:52:36.786","auxiliary"
"00000000-6440-9ae4-7ce4-be001f27935a","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279327","Firmware Version","hardware","info","any","101","unknown",NULL,"2023-04-20 01:52:36.792","info"
"00000000-6440-9aef-9df1-58001f42b258","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279321","Status","captured","water","cold","1","unknown",NULL,"2023-04-20 01:52:47.764","auxiliary"
"00000000-6440-9aef-9df1-58001f42b259","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279322","Low Bat","hardware","battery","unknown","0","unknown",NULL,"2023-04-20 01:52:47.774","info"
"00000000-6440-9aef-9df1-58001f42b25a","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279323","Keep Alive","unknown","unknown","unknown","240","min",NULL,"2023-04-20 01:52:47.782","auxiliary"
"00000000-6440-9aef-9df1-58001f42b25b","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279325","Battery","hardware","battery","any","2.96","V",NULL,"2023-04-20 01:52:47.79","auxiliary"
"00000000-6440-9aef-9df1-58001f42b25c","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279327","Firmware Version","hardware","info","any","101","unknown",NULL,"2023-04-20 01:52:47.795","info"
"00000000-6440-9afa-9df1-58001f42b25e","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279321","Status","captured","water","cold","1","unknown",NULL,"2023-04-20 01:52:58.782","auxiliary"
"00000000-6440-9afa-9df1-58001f42b25f","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279322","Low Bat","hardware","battery","unknown","0","unknown",NULL,"2023-04-20 01:52:58.79","info"
"00000000-6440-9afa-9df1-58001f42b260","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279323","Keep Alive","unknown","unknown","unknown","240","min",NULL,"2023-04-20 01:52:58.8","auxiliary"
"00000000-6440-9afa-9df1-58001f42b261","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279325","Battery","hardware","battery","any","2.96","V",NULL,"2023-04-20 01:52:58.808","auxiliary"
"00000000-6440-9afa-9df1-58001f42b262","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279327","Firmware Version","hardware","info","any","101","unknown",NULL,"2023-04-20 01:52:58.821","info"
"00000000-6440-9b05-9df1-58001f42b269","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279321","Status","captured","water","cold","0","unknown",NULL,"2023-04-20 01:53:09.798","auxiliary"
"00000000-6440-9b05-9df1-58001f42b26a","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279322","Low Bat","hardware","battery","unknown","0","unknown",NULL,"2023-04-20 01:53:09.811","info"
"00000000-6440-9b05-9df1-58001f42b26b","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279323","Keep Alive","unknown","unknown","unknown","240","min",NULL,"2023-04-20 01:53:09.816","auxiliary"
"00000000-6440-9b05-9df1-58001f42b26c","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279325","Battery","hardware","battery","any","2.95","V",NULL,"2023-04-20 01:53:09.823","auxiliary"
"00000000-6440-9b05-9df1-58001f42b26d","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279327","Firmware Version","hardware","info","any","101","unknown",NULL,"2023-04-20 01:53:09.833","info"
"00000000-6440-9b10-9df1-58001f42b274","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279321","Status","captured","water","cold","0","unknown",NULL,"2023-04-20 01:53:20.811","auxiliary"
"00000000-6440-9b10-9df1-58001f42b275","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279322","Low Bat","hardware","battery","unknown","0","unknown",NULL,"2023-04-20 01:53:20.818","info"
"00000000-6440-9b10-9df1-58001f42b276","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279323","Keep Alive","unknown","unknown","unknown","240","min",NULL,"2023-04-20 01:53:20.826","auxiliary"
"00000000-6440-9b10-9df1-58001f42b277","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279327","Firmware Version","hardware","info","any","101","unknown",NULL,"2023-04-20 01:53:20.832","info"
"00000000-6440-9b10-9df1-58001f42b278","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279325","Battery","hardware","battery","any","2.95","V",NULL,"2023-04-20 01:53:20.839","auxiliary"
"00000000-6440-9b1b-7ce4-be001f27937f","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279321","Status","captured","water","cold","0","unknown",NULL,"2023-04-20 01:53:31.828","auxiliary"
"00000000-6440-9b1b-7ce4-be001f279380","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279322","Low Bat","hardware","battery","unknown","0","unknown",NULL,"2023-04-20 01:53:31.841","info"
"00000000-6440-9b1b-7ce4-be001f279381","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279323","Keep Alive","unknown","unknown","unknown","240","min",NULL,"2023-04-20 01:53:31.85","auxiliary"
"00000000-6440-9b1b-7ce4-be001f279382","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279325","Battery","hardware","battery","any","2.89","V",NULL,"2023-04-20 01:53:31.857","auxiliary"
"00000000-6440-9b1b-7ce4-be001f279383","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279327","Firmware Version","hardware","info","any","101","unknown",NULL,"2023-04-20 01:53:31.864","info"
"00000000-6440-9b26-46b2-f2002087bbad","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279321","Status","captured","water","cold","0","unknown",NULL,"2023-04-20 01:53:42.843","auxiliary"
"00000000-6440-9b26-46b2-f2002087bbae","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279322","Low Bat","hardware","battery","unknown","0","unknown",NULL,"2023-04-20 01:53:42.851","info"
"00000000-6440-9b26-46b2-f2002087bbaf","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279323","Keep Alive","unknown","unknown","unknown","240","min",NULL,"2023-04-20 01:53:42.861","auxiliary"
"00000000-6440-9b26-46b2-f2002087bbb0","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279325","Battery","hardware","battery","any","2.94","V",NULL,"2023-04-20 01:53:42.867","auxiliary"
"00000000-6440-9b26-46b2-f2002087bbb1","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279327","Firmware Version","hardware","info","any","101","unknown",NULL,"2023-04-20 01:53:42.872","info"
"00000000-6440-9b31-9df1-58001f42b296","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279321","Status","captured","water","cold","0","unknown",NULL,"2023-04-20 01:53:53.86","auxiliary"
"00000000-6440-9b31-9df1-58001f42b297","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279322","Low Bat","hardware","battery","unknown","0","unknown",NULL,"2023-04-20 01:53:53.868","info"
"00000000-6440-9b31-9df1-58001f42b298","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279323","Keep Alive","unknown","unknown","unknown","240","min",NULL,"2023-04-20 01:53:53.876","auxiliary"
"00000000-6440-9b31-9df1-58001f42b299","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279325","Battery","hardware","battery","any","2.94","V",NULL,"2023-04-20 01:53:53.886","auxiliary"
"00000000-6440-9b31-9df1-58001f42b29a","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279327","Firmware Version","hardware","info","any","101","unknown",NULL,"2023-04-20 01:53:53.89","info"
"00000000-6440-9b3c-7ce4-be001f27939c","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279321","Status","captured","water","cold","0","unknown",NULL,"2023-04-20 01:54:04.883","auxiliary"
"00000000-6440-9b3c-7ce4-be001f27939d","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279322","Low Bat","hardware","battery","unknown","0","unknown",NULL,"2023-04-20 01:54:04.894","info"
"00000000-6440-9b3c-7ce4-be001f27939e","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279323","Keep Alive","unknown","unknown","unknown","240","min",NULL,"2023-04-20 01:54:04.9","auxiliary"
"00000000-6440-9b3c-7ce4-be001f27939f","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279325","Battery","hardware","battery","any","2.94","V",NULL,"2023-04-20 01:54:04.909","auxiliary"
"00000000-6440-9b3c-7ce4-be001f2793a0","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279327","Firmware Version","hardware","info","any","101","unknown",NULL,"2023-04-20 01:54:04.912","info"
"00000000-6440-9b47-46b2-f2002087bbe2","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279321","Status","captured","water","cold","0","unknown",NULL,"2023-04-20 01:54:15.898","auxiliary"
"00000000-6440-9b47-46b2-f2002087bbe3","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279322","Low Bat","hardware","battery","unknown","0","unknown",NULL,"2023-04-20 01:54:15.908","info"
"00000000-6440-9b47-46b2-f2002087bbe4","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279325","Battery","hardware","battery","any","2.94","V",NULL,"2023-04-20 01:54:15.917","auxiliary"
"00000000-6440-9b47-46b2-f2002087bbe5","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279323","Keep Alive","unknown","unknown","unknown","240","min",NULL,"2023-04-20 01:54:15.927","auxiliary"
"00000000-6440-9b47-46b2-f2002087bbe6","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279327","Firmware Version","hardware","info","any","101","unknown",NULL,"2023-04-20 01:54:15.931","info"
"00000000-6440-9b52-46b2-f2002087bbe8","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279321","Status","captured","water","cold","0","unknown",NULL,"2023-04-20 01:54:26.915","auxiliary"
"00000000-6440-9b52-46b2-f2002087bbe9","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279322","Low Bat","hardware","battery","unknown","0","unknown",NULL,"2023-04-20 01:54:26.925","info"
"00000000-6440-9b52-46b2-f2002087bbea","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279323","Keep Alive","unknown","unknown","unknown","240","min",NULL,"2023-04-20 01:54:26.932","auxiliary"
"00000000-6440-9b52-46b2-f2002087bbeb","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279325","Battery","hardware","battery","any","2.94","V",NULL,"2023-04-20 01:54:26.941","auxiliary"
"00000000-6440-9b52-46b2-f2002087bbec","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279327","Firmware Version","hardware","info","any","101","unknown",NULL,"2023-04-20 01:54:26.952","info"
"00000000-6440-9bb1-46b2-f2002087bc1d","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279321","Status","captured","water","cold","0","unknown",NULL,"2023-04-20 01:56:01.031","auxiliary"
"00000000-6440-9bb1-46b2-f2002087bc1e","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279322","Low Bat","hardware","battery","unknown","0","unknown",NULL,"2023-04-20 01:56:01.048","info"
"00000000-6440-9bb1-46b2-f2002087bc1f","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279323","Keep Alive","unknown","unknown","unknown","240","min",NULL,"2023-04-20 01:56:01.063","auxiliary"
"00000000-6440-9bb1-46b2-f2002087bc20","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279325","Battery","hardware","battery","any","0","V",NULL,"2023-04-20 01:56:01.07","auxiliary"
"00000000-6440-9bb1-46b2-f2002087bc21","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279327","Firmware Version","hardware","info","any","101","unknown",NULL,"2023-04-20 01:56:01.075","info"
"00000000-6440-9bb9-46b2-f2002087bc23","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279321","Status","captured","water","cold","0","unknown",NULL,"2023-04-20 01:56:09.155","auxiliary"
"00000000-6440-9bb9-46b2-f2002087bc24","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279322","Low Bat","hardware","battery","unknown","0","unknown",NULL,"2023-04-20 01:56:09.167","info"
"00000000-6440-9bb9-46b2-f2002087bc25","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279323","Keep Alive","unknown","unknown","unknown","240","min",NULL,"2023-04-20 01:56:09.175","auxiliary"
"00000000-6440-9bb9-46b2-f2002087bc26","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279325","Battery","hardware","battery","any","2.9","V",NULL,"2023-04-20 01:56:09.18","auxiliary"
"00000000-6440-9bb9-46b2-f2002087bc27","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279327","Firmware Version","hardware","info","any","101","unknown",NULL,"2023-04-20 01:56:09.193","info"
"00000000-6440-9bd4-9df1-58001f42b300","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279321","Status","captured","water","cold","0","unknown",NULL,"2023-04-20 01:56:36.42","auxiliary"
"00000000-6440-9bd4-9df1-58001f42b301","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279322","Low Bat","hardware","battery","unknown","0","unknown",NULL,"2023-04-20 01:56:36.43","info"
"00000000-6440-9bd4-9df1-58001f42b302","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279323","Keep Alive","unknown","unknown","unknown","240","min",NULL,"2023-04-20 01:56:36.437","auxiliary"
"00000000-6440-9bd4-9df1-58001f42b303","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279325","Battery","hardware","battery","any","2.9","V",NULL,"2023-04-20 01:56:36.446","auxiliary"
"00000000-6440-9bd4-9df1-58001f42b304","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279327","Firmware Version","hardware","info","any","101","unknown",NULL,"2023-04-20 01:56:36.453","info"
"00000000-6440-9bff-7ce4-be001f2793fd","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279321","Status","captured","water","cold","0","unknown",NULL,"2023-04-20 01:57:19.949","auxiliary"
"00000000-6440-9bff-7ce4-be001f2793fe","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279322","Low Bat","hardware","battery","unknown","0","unknown",NULL,"2023-04-20 01:57:19.962","info"
"00000000-6440-9bff-7ce4-be001f2793ff","212e4664-bbf2-41ac-be7e-2d9deb99614c","00000000-6360-1f88-5f68-200021a1207f","00000000-6440-9aad-7ce4-be001f279323","Keep Alive","unknown","unknown","unknown","240","min",NULL,"2023-04-20 01:57:19.972","auxiliary"
